t,O2,H2,H2O,Cl2,HCl
0,1,2,0,1,0
0.01,0.9416184573790229,1.8832369147580459,0.116763085241954,1,0
0.02,0.8930757697084564,1.7857535635895443,0.2138484605830872,0.9996020241726317,0.0007959516547365682
0.03,0.8521758699301184,1.7026198984067258,0.2956482601397632,0.9982681585464892,0.0034636829070215655
0.04,0.8173909850590637,1.6305074547757616,0.3652180298818725,0.9957254846576343,0.008549030684731392
0.05,0.7876042521895853,1.5670736163464674,0.4247914956208293,0.9918651119672969,0.01626977606540632
0.06,0.7619658316184182,1.5106147153276173,0.4760683367631633,0.9866830520907808,0.0266338958184386
0.07,0.7398081649917558,1.4598585866845544,0.5203836700164881,0.9802422567010427,0.03951548659791468
0.08,0.7205938433482635,1.4138343845905799,0.5588123133034728,0.9726466978940529,0.05470660421189434
0.09,0.7038822227608682,1.3717875606039918,0.5922355544782633,0.9640231150822554,0.07195376983548936
0.1,0.6893071729230169,1.3331224472216783,0.6213856541539657,0.9545081013756445,0.09098379724871114
0.11,0.6765616235531506,1.2973623697770973,0.6468767528936984,0.9442391226707962,0.11152175465840766
0.12,0.6653863787312382,1.2641212592562525,0.6692272425375233,0.9333485017937764,0.13330299641244747
0.13,0.6555616964774463,1.2330830292696209,0.6888766070451071,0.9219596363147284,0.15608072737054335
0.14,0.6469007276051073,1.2039863261867714,0.7061985447897852,0.910184870976557,0.17963025804688615
0.15,0.6392442584628698,1.176613078988451,0.7215114830742603,0.8981245620627116,0.20375087587457674
0.16,0.6324564092802901,1.1507797871770753,0.7350871814394196,0.8858669686164952,0.2282660627670096
0.17,0.6264210626117236,1.1263308142930997,0.7471578747765526,0.8734886890696525,0.25302262186069485
0.18,0.6210388696060697,1.1031331716469974,0.7579222607878605,0.8610554324348582,0.27788913513028346
0.19,0.616224726088865,1.0810724232463942,0.7675505478222698,0.8486229710686644,0.3027540578626712
0.2,0.6119056378678217,1.0600494436216885,0.7761887242643566,0.8362381678860453,0.3275236642279092
0.21,0.608018912358498,1.0399778308405332,0.7839621752830039,0.8239400061235373,0.35211998775292513
0.22,0.6045106256648705,1.0207818272793072,0.7909787486702591,0.8117605759495664,0.37647884810086696
0.23,0.6013343229635876,1.0023946370518568,0.7973313540728248,0.7997259911246818,0.4005480177506362
0.24,0.598449916730809,0.9847570555878906,0.803100166538382,0.7878572221262727,0.42428555574745425
0.25,0.5958227527367325,0.9678163465379851,0.8083544945265352,0.7761708410645204,0.4476583178709589
0.26,0.5934228182138352,0.9515253159006506,0.8131543635723297,0.7646796794729804,0.47064064105403886
0.27,0.591224070405664,0.935841544371413,0.8175518591886721,0.7533934035600853,0.4932131928798292
0.28,0.5892038669576434,0.9207267473597435,0.8215922660847135,0.742319013444457,0.5153619731110857
0.29,0.5873424824069389,0.9061462385907604,0.8253150351861226,0.7314612737768831,0.5370774524462336
0.3,0.5856226974281916,0.8920684782001537,0.8287546051436171,0.7208230833437709,0.5583538333124579
0.31,0.5840294495468241,0.8784646901050842,0.831941100906352,0.7104057910114363,0.579188417977127
0.32,0.5825495357854191,0.8653085364585077,0.834900928429162,0.7002094648876698,0.59958107022466
0.33,0.5811713592004176,0.8525758393687507,0.8376572815991651,0.6902331209679159,0.6195337580641679
0.34,0.5798847125311913,0.8402443419397725,0.8402305749376177,0.6804749168773903,0.6390501662452193
0.35000000000000003,0.5786805932529471,0.828293502173357,0.8426388134941061,0.6709323156674631,0.6581353686650735
0.36,0.5775510452270043,0.8167043144584033,0.8448979095459916,0.6616022240043951,0.6767955519912097
0.37,0.5764890229015184,0.8054591543202051,0.8470219541969636,0.6524811085171688,0.6950377829656622
0.38,0.5754882746543349,0.7945416428646472,0.8490234506913305,0.6435650935559778,0.7128698128880441
0.39,0.5745432424060779,0.7839365279676419,0.8509135151878445,0.6348500431554865,0.7302999136890266
0.4,0.5736489750818808,0.7736295797591916,0.8527020498362388,0.6263316295954303,0.747336740809139
0.41000000000000003,0.5728010538780915,0.7636074983578632,0.8543978922438175,0.6180053906016807,0.7639892187966383
0.42,0.5719955276074584,0.7538578321437238,0.8560089447850837,0.6098667769288075,0.7802664461423846
0.43,0.5712288566625843,0.7443689051305086,0.857542286674832,0.6019111918053406,0.7961776163893185
0.44,0.5704978643610914,0.7351297522225115,0.8590042712778179,0.5941340235003293,0.8117319529993411
0.45,0.5697996946239338,0.7261300613275351,0.8604006107521333,0.5865306720796682,0.8269386558406632
0.46,0.5691317750964431,0.7173601214515183,0.8617364498071146,0.5790965712586328,0.841806857482734
0.47000000000000003,0.5684917849548734,0.7088107760289883,0.863016430090254,0.5718272061192423,0.856345587761515
0.48,0.5678776267534841,0.7004733808509421,0.8642447464930327,0.5647181273439749,0.87056374531205
0.49,0.5672874017619701,0.6923397660419123,0.8654251964760606,0.5577649625179729,0.8844700749640539
0.5,0.5667193883231434,0.6844022016138631,0.8665612233537141,0.5509634249675772,0.8980731500648453
0.51,0.5661720228285535,0.6766533661886539,0.8676559543428938,0.5443093205315477,0.9113813589369044
0.52,0.5656438829671889,0.6690863185351161,0.8687122340656229,0.537798552600739,0.9244028947985217
0.53,0.5651336729511589,0.6616944716129551,0.869732654097683,0.5314271257106381,0.9371457485787235
0.54,0.5646402104637077,0.6544715688550461,0.8707195790725852,0.5251911479276313,0.949617704144737
0.55,0.5641624151102002,0.64741166245336,0.8716751697796002,0.5190868322329603,0.9618263355340791
0.56,0.5636992981828043,0.640509093442631,0.872601403634392,0.5131104970770228,0.973779005845954
0.5700000000000001,0.5632499535752937,0.633758473400717,0.873500092849413,0.50725856625013,0.9854828674997398
0.58,0.5628135497063693,0.6271546676060403,0.8743729005872618,0.5015275681933021,0.9969448636133955
0.59,0.5623893223287268,0.62069277951103,0.8752213553425467,0.49591413485357666,1.0081717302928466
0.6,0.5619765681172537,0.6143681364065753,0.876046863765493,0.49041500017206824,1.0191699996558634
0.61,0.5615746389436194,0.6081762761664851,0.8768507221127618,0.4850269982792468,1.0299460034415062
0.62,0.5611829367564737,0.6021129349731413,0.8776341264870532,0.4797470614601944,1.040505877079611
0.63,0.5608009089967704,0.596174035936202,0.8783981820064597,0.47457221794266163,1.0508555641146766
0.64,0.5604280444866238,0.5903556785255442,0.8791439110267529,0.4694995895522971,1.0610008208954056
0.65,0.5600638697377999,0.5846541287478485,0.8798722605244007,0.46452638927224915,1.0709472214555016
0.66,0.5597079456326038,0.5790658100034468,0.8805841087347929,0.45964991873823957,1.0807001625235209
0.67,0.5593598644357002,0.5735872945664304,0.8812802711286002,0.45486756569503056,1.090264868609939
0.68,0.5590192471004234,0.5682152956366522,0.8819615057991537,0.4501768014358058,1.0996463971283885
0.6900000000000001,0.5586857408374996,0.5629466599172495,0.8826285183250012,0.4455751782422506,1.1088496435154989
0.7000000000000001,0.5583590169179034,0.557778360675752,0.8832819661641937,0.44106032683994567,1.1178793463201089
0.71,0.5580387686848924,0.5527074912507838,0.8839224626302156,0.4366299538809993,1.1267400922380015
0.72,0.5577247097531609,0.5477312589698862,0.8845505804936786,0.43228183946356474,1.1354363210728706
0.73,0.5574165723755874,0.5428469794471331,0.8851668552488258,0.4280138346959587,1.1439723306080827
0.74,0.557114105960277,0.5380520712320205,0.8857717880794465,0.42382385931146677,1.1523522813770666
0.75,0.5568170757225454,0.533344050783633,0.8863658485549099,0.4197098993385427,1.1605802013229147
0.76,0.5565252614582034,0.5287205277463561,0.886949477083594,0.41567000482995,1.1686599903401003
0.77,0.5562384564260103,0.5241792005054361,0.8875230871479799,0.4117022876534158,1.1765954246931685
0.78,0.5559564663284878,0.5197178520025266,0.8880870673430248,0.40780491934555124,1.1843901613088976
0.79,0.5556791083814562,0.5153343457930177,0.8886417832370882,0.4039761290301057,1.1920477419397886
0.8,0.55540621046369,0.5110266223284364,0.8891875790726206,0.4002142014010568,1.1995715971978864
0.81,0.5551376103390023,0.5067926954485656,0.8897247793219959,0.3965174747705614,1.2069650504588771
0.8200000000000001,0.5548731549438739,0.502630649069156,0.8902536901122529,0.39288433918140864,1.2142313216371827
0.8300000000000001,0.554612699734462,0.49853863405221793,0.8907746005310766,0.38931323458329425,1.2213735308334115
0.84,0.5543561080874596,0.4945148652468985,0.8912877838250814,0.38580264907197975,1.2283947018560406
0.85,0.5541032507498376,0.4905576186898664,0.8917934985003255,0.3823511171901917,1.2352977656196167
0.86,0.5538540053330092,0.4866652289549718,0.8922919893339821,0.3789572182889537,1.2420855634220926
0.87,0.5536082558473999,0.48283608664271466,0.8927834883052008,0.37561957494791526,1.2487608501041696
0.88,0.5533658922738046,0.4790686360007559,0.8932682154523913,0.372336851453147,1.255326297093706
0.89,0.5531268101682735,0.47536137266734707,0.8937463796634537,0.36910775233080056,1.261784495338399
0.9,0.5528909102975799,0.47171284153014315,0.894218179404841,0.3659310209349839,1.2681379581300323
0.91,0.5526580983026135,0.4681216346933997,0.8946838033947739,0.3628054380881733,1.2743891238236535
0.92,0.5524282843872922,0.4645863895470518,0.8951434312254165,0.3597298207724679,1.2805403584550643
